   c  s cnt l n  v  L C  A  D  r h  w f  b rh g lg p nas 
NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
DUM  -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
5 -1 1 1 -1 -1 1 1 -1 0 1 1 -1 1 -1 1 -1 -1 0 -1 -1
A -1 1 1 -1 -1 1 -1 -1 0 1 -1 -1 1 -1 1 -1 -1 0 -1 -1
Ah -1 1 1 -1 -1 1 -1 -1 0 1 -1 -1 1 -1 1 -1 -1 0 -1 -1
Ar -1 1 1 -1 -1 1 -1 -1 0 1 -1 -1 1 -1 1 1 -1 0 -1 -1
A: -1 1 1 -1 -1 1 -1 -1 0 1 -1 -1 1 -1 1 -1 -1 1 -1 -1
6 -1 1 1 -1 -1 1 1 -1 0 1 1 -1 1 1 -1 -1 -1 0 -1 -1
a -1 1 1 -1 -1 1 -1 -1 0 1 -1 -1 1 -1 -1 -1 -1 0 -1 -1
ah -1 1 1 -1 -1 1 -1 -1 0 1 -1 -1 1 -1 -1 -1 -1 0 -1 -1
aI -1 1 1 -1 -1 1 -1 -1 0 1 -1 1 -1 1 -1 -1 -1 0 -1 -1
aU -1 1 1 -1 -1 1 1 -1 0 1 1 1 -1 -1 1 -1 -1 0 -1 -1
au -1 1 1 -1 -1 1 1 -1 0 1 1 1 -1 -1 1 -1 -1 0 -1 -1
oU -1 1 1 -1 -1 1 1 -1 0 1 1 1 -1 -1 1 -1 -1 0 -1 -1
oI -1 1 1 -1 -1 1 1 -1 0 1 0 -1 -1 -1 1 -1 -1 0 -1 -1
@ -1 1 1 -1 -1 1 -1 -1 0 1 -1 -1 1 1 -1 -1 -1 0 -1 -1
^ -1 1 1 -1 -1 1 -1 -1 0 1 -1 -1 -1 -1 1 -1 -1 0 -1 -1
> -1 1 1 -1 -1 1 1 -1 0 1 1 -1 -1 -1 1 -1 -1 0 -1 -1
>: -1 1 1 -1 -1 1 1 -1 0 1 1 -1 -1 -1 1 -1 -1 1 -1 -1
>j -1 1 1 -1 -1 1 1 -1 0 1 1 -1 -1 -1 1 -1 -1 0 -1 -1
>I -1 1 1 -1 -1 1 1 -1 0 1 1 1 -1 1 1 -1 -1 0 -1 -1
>~ -1 1 1 -1 -1 1 1 -1 0 1 1 -1 -1 -1 1 -1 -1 0 -1 1 
o -1 1 1 -1 -1 1 1 -1 0 1 1 -1 -1 -1 1 -1 -1 0 -1 -1
oh -1 1 1 -1 -1 1 1 -1 0 1 1 -1 -1 -1 1 -1 -1 0 -1 -1
o: -1 1 1 -1 -1 1 1 -1 0 1 1 -1 -1 -1 1 -1 -1 1 -1 -1
io -1 1 1 -1 -1 1 1 -1 0 1 1 -1 -1 -1 1 -1 -1 0 -1 -1
2 -1 1 1 -1 -1 1 -1 -1 0 1 -1 -1 -1 -1 1 -1 -1 0 -1 -1
8 -1 1 1 -1 -1 1 1 -1 0 1 1 -1 -1 1 -1 -1 -1 0 -1 -1
& -1 1 1 -1 -1 1 -1 -1 0 1 -1 -1 -1 -1 -1 -1 -1 0 -1 -1
3 -1 1 1 -1 -1 1 -1 -1 0 1 -1 -1 -1 -1 -1 -1 -1 1 -1 -1
&~ -1 1 1 -1 -1 1 -1 -1 0 1 -1 -1 -1 -1 -1 -1 -1 0 -1 1
e -1 1 1 -1 -1 1 -1 -1 0 1 -1 -1 -1 1 -1 -1 -1 0 -1 -1
eh -1 1 1 -1 -1 1 -1 -1 0 1 -1 -1 -1 1 -1 -1 -1 0 -1 -1
ej -1 1 1 -1 -1 1 -1 -1 0 1 -1 -1 -1 1 -1 -1 -1 0 -1 -1
e: -1 1 1 -1 -1 1 -1 -1 0 1 -1 -1 -1 1 -1 -1 -1 1 -1 -1
