# Hangel Syllables
AC00	k a
AC01	k a k
AC02	k a k>
AC03	k a k sh
AC04	k a n
AC05	k a n tS 
AC06	k a n h
AC07	k a t
AC08	k a l
AC09	k a l k
AC0A	k a l m
AC0B	k a l b
AC0C	k a l sh
AC0D	k a l th
AC0E	k a l ph	   
AC0F	k a l h
AC10	k a m
AC11	k a p
AC12	k a p sh
AC13	k a sh
AC14	k a s
AC15	k a N
AC16	k a tS
AC17	k a tSh
AC18	k a kh
AC19	k a th
AC1A	k a ph	   
AC1B	k a h
AC1C	k @
AC1D	k @ k
AC1E	k @ k>
AC1F	k @ k sh
AC20	k @ n
AC21	k @ n tS
AC22	k @ n h
AC23	k @ t
AC24	k @ l
AC25	k @ l k
AC26	k @ l m
AC27	k @ l p
AC28	k @ l sh
AC29	k @ l th
AC2A	k @ l ph
AC2B	k @ l h
AC2C	k @ m
AC2D	k @ p
AC2E	k @ p sh
AC2F	k @ sh
AC30	k @ s
AC31	k @ N
AC32	k @ tS
AC33	k @ tSh
AC34	k @ kh
AC35	k @ th
AC36	k @ ph
AC37	k @ h
AC38	k j a
AC39	k j a k
AC3A	k j a k>
AC3B	k j a k sh
AC3C	k j a n
AC3D	k j a n tS
AC3E	k j a n h
AC3F	k j a t
AC40	k j a l
AC41	k j a l k
AC42	k j a L M
AC43	k j a l p
AC44	k j a l sh
AC45	k j a l th
AC46	k j a l ph
AC47	k j a l h
AC48	k j a m
AC49	k j a p
AC4A	k j a p sh
AC4B	k j a sh
AC4C	k j a s
AC4D	k j a N
AC4E	k j a tS
AC4F	k j a tSh
AC50	k j a kh
AC51	k j a th
AC52	k j a ph
AC53	k j a h
AC54	k j @
AC55	k j @ k
AC56	k j @ k>
AC57	k j @ k sh
AC58	k j @ n
AC59	k j @ n tS
AC5A	k j @ n h
AC5B	k j @ t
AC5C	k j @ l
AC5D	k j @ l k
AC5E	k j @ l m
AC5F	k j @ l p
AC60	k j @ l sh
AC61	k j @ l th
AC62	k j @ l ph
AC63	k j @ l h
AC64	k j @ m
AC65	k j @ p
AC66	k j @ p sh
AC67	k j @ sh
AC68	k j @ s
AC69	k j @ N
AC6A	k j @ tS
AC6B	k j @ tSh
AC6C	k j @ kh
AC6D	k j @ th
AC6E	k j @ ph
AC6F	k j @ h
AC70	k ^
AC71	k ^ k
AC72	k ^ k>
AC73	k ^ k sh
AC74	k ^ n
AC75	k ^ n tS
AC76	k ^ n h
AC77	k ^ t
AC78	k ^ l
AC79	k ^ l k
AC7A	k ^ l m
AC7B	k ^ l p
AC7C	k ^ l sh
AC7D	k ^ l th  
AC7E	k ^ l ph
AC7F	k ^ l h
AC80	k ^ m
AC81	k ^ p
AC82	k ^ p sh
AC83	k ^ sh
AC84	k ^ s
AC85	k ^ N
AC86	k ^ tS
AC87	k ^ tSh
AC88	k ^ kh
AC89	k ^ th
AC8A	k ^ ph
AC8B	k ^ h
AC8C	k e
AC8D	k e k
AC8E	k e k>
AC8F	k e k sh
AC90	k e n
AC91	k e n tS
AC92	k e n h
AC93	k e t
AC94	k e l
AC95	k e l k
AC96	k e l m
AC97	k e l p
AC98	k e l sh
AC99	k e l th
AC9A	k e l ph
AC9B	k e l h
AC9C	k e m
AC9D	k e p
AC9E	k e p sh
AC9F	k e sh	
ACA0	k e s
ACA1	k e N
ACA2	k e tS
ACA3	k e tSh
ACA4	k e kh
ACA5	k e th
ACA6	k e ph
ACA7	k e h
ACA8	k j ^
ACA9	k j ^ k
ACAA	k j ^ k>
ACAB	k j ^ k sh
ACAC	k j ^ n
ACAD	k j ^ n tS
ACAE	k j ^ n h
ACAF	k j ^ t
ACB0	k j ^ l
ACB1	k j ^ l k
ACB2	k j ^ l m
ACB3	k j ^ l p
ACB4	k j ^ l sh
ACB5	k j ^ l th
ACB6	k j ^ l ph
ACB7	k j ^ l h
ACB8	k j ^ m
ACB9	k j ^ p
ACBA	k j ^ p sh
ACBB	k j ^ sh
ACBC	k j ^ s
ACBD	k j ^ N
ACBE	k j ^ tS
ACBF	k j ^ tSh
ACC1	k j ^ th
ACC2	k j ^ ph
ACC3	k j ^ h
ACC4	k j e
ACC5	k j e k
ACC6	k j e k>
ACC7	k j e k sh
ACC8	k j e n
ACC9	k j e n tS
ACCA	k j e n h
ACCB	k j e t
ACCC	k j e l
ACCD	k j e l k
ACCE	k j e l m
ACCF	k j e l p
ACD1	k j e l sh
ACD2	k j e l th
ACD3	k j e l ph
ACD4	k j e m
ACD5	k j e p
ACD6	k j e p sh
ACD7	k j e sh
ACD8	k j e s 
ACD9	k j e N
ACDA	k j e tS
ACDB	k j e tSh
ACDC	k j e kh
ACDD	k j e th
ACDE	k j e ph
ACDF	k j e h
ACE0	k o
ACE1	k o k
ACE2	k o k>
ACE3	k o k sh
ACE4	k o n
ACE5	k o n tS
ACE6	k o n h
