#Unified Canadian Aboriginal Syllabics

#Syllables
1401	aI
1402	A: i
1403	i
1404	i:
1405	u
1406	u:
1407	o:
1408	e:
1409	i
140A	A
140B	A:
140C	w e
140D	w e
140E	w i
140F	w i
1410	w i:
1411	w i:
1412	w o
1413	w o
1414	w o:
1415	w o:
1416	w o:
1417	w A
1418	w A
1419	w A:
141A	w A:
141B	w A:
141C	A:
141D	w
141E	?
141F	?
1420	k
1421	S	
1422	s
1423	n
1424	w
1425	t t
1426	h
1427	w
1428	G
1429	n
142A	l
142B	e n
142C	i n
142D	o n
142E	a n
142F	p aI
1430	p A: i
1431	p i	
1432	p i:
1433	p u
1434	p u:
1435	p o:	
1436	h e:
1437	h i
1438	p A
1439	p A:
143A	pw e
143B	pw e
143C	pw i
143D	pw i
143E	pw i:
143F	pw i:
1440	pw o
1441	pw o
1442	pw o:
1443	pw o:
1444	pw A
1445	pw A
1446	pw A:
1447	pw A:
1448	pw A:
1449	p	
144A	h
144B	t aI
144C	t A: i
144D	t i
144E	t i
144F	t i:
1450	t u
1451	t u:
1452	t o:	
1453	d e:
1454	d i
1455	t A
1456	t A:
1457	tw e
1458	tw i
1459	tw i
145A	tw i:
145B	tw i:
145C	tw i:
145D	tw o
145E	tw o
145F	tw o:
1460	tw o:
1461	tw A
1462	tw A
1463	tw A:
1464	tw A:
1465	tw A:
1466	t
1467	t t e	
1468	t t i
1469	t t o
146A	t t A
146B	k aI
146C	k A: i
146D	k i	
146E	k i:
146F	k u
1470	k u:
1471	k o:
1472	k A
1473	k A:
1474	kw e
1475	kw e
1476	kw i
1477	kw i
1478	kw i:
1479	kw i:
147A	kw o
147B	kw o
147C	kw o:
147D	kw o:
147E	kw A
147F	kw A
1480	kw A
1481	kw A:
1482	kw A:
1483	k
1484	kw
1485	k eh
1486	k ih
1487	k oh
1488	k ah
1489	G aI
148A	G A: i
148B	G i
148C	G i:
148D	G u
148E	G u:
148F	G o:
1490	G A
1491	G A:
1492	Gw e
1493	Gw e
1494	Gw i
1495	Gw i
1496	Gw i:
1497	Gw i:
1498	Gw o
1499	Gw o
149A	Gw o:
149B	Gw o:
149C	Gw A
149D	Gw A
149E	Gw A:
149F	Gw A:
14A0	Gw A:
14A1	G
14A2	D
14A3	m aI
14A4	m A: i
14A5	m i
14A6	m i:
14A7	m u
14A8	m u:
14A9	m o:
14AA	m A
14AB	m A:
14AC	mw e
14AD	mw e
14AE	mw i
14AF	mw i
14B0	mw i:
14B1	mw i:
14B2	mw o
14B3	mw o
14B4	mw o:
14B5	mw o:
14B6	mw A
14B7	mw A
14B8	mw A:
14B9	mw A:
14BA	mw A:
14BB	m
14BC	m
14BD	mh
14BE	m
14BF	m
14C0	n aI
14C1	n A: i
14C2	n i
14C3	n i:
14C4	n u
14C5	n u:
14C6	n o:
14C7	n A
14C8	n A:
14C9	nw e
14CA	nw e
14CB	nw A
14CC	nw A
14CD	nw A:
14CE	nw A:
14CF	nw A:
14D0	n
14D1	N
14D2	nh
14D3	l aI
14D4	l A: i
14D5	l i
14D6	l i:
14D7	l u
14D8	l u:
14D9	l o:
14DA	l A
14DB	l A:
14DC	lw e
14DD	lw e
14DE	lw i
14DF	lw i
14E0	lw i:
14E1	lw i:
14E2	lw o
14E3	lw o
14E4	lw o:
14E5	lw o:
14E6	lw A
14E7	lw A
14E8	lw A:
14E9	lw A:
14EA	l
14EB	l
14EC	l
14ED	s aI
14EE	s A: i
14EF	s i	
14F0	s i:
14F1	s u
14F2	s u:
14F3	s o:
14F4	s A
14F5	s A:
14F6	sw e
14F7	sw e
14F8	sw i
14F9	sw i
14FA	sw i:
14FB	sw i:
14FC	sw o
14FD	sw o
14FE	sw o:
14FF	sw o:
1500	sw A
1501	sw A
1502	sw A:
1503	sw A:
1504	sw A:
1505	s
1506	s
1507	sw
1508	s
1509	s k
150A	s kw
150B	s w
150C	s pw A
150D	s tw A
150E	s kw A
150F	s cw A
1510	S e
1511	S i
1512	S i:
1513	S o
1514	S o:
1515	S A
1516	S A:
1517	Sw e
1518	Sw e
1519	Sw i
151A	Sw i
151B	Sw i:
151C	Sw i:
151D	Sw o
151E	Sw o
151F	Sw o:
1520	Sw o:
1521	Sw A
1522	Sw A
1523	Sw A:
1524	Sw A:
1525	S
1526	j aI
1527	j A: i
1528	j i
1529	j i:
152A	j u
152B	j u:
152C	j o:
152D	j A
152E	j A:
152F	jw e
1530	jw e
1531	jw i
1532	jw i
